completion_date,company_alias_name,company_alias_id,assigned_by_email,notified_contacts,product_name,product_item_number,task_assigned_date,task_assignees,task_status,days_open,task_id
,,,,,,,,,,178 807,1 489 875
(blank),BASTA,BASTA,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy+1@test40.com,ludmila.nesvitiy@test7.com",basra,basta,12-09-2022,General Management,Waiting for Connection...,136,4 630
(blank),Benefit,TPID-114112,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy+1@test23.com,(blank),(blank),11-09-2021,General Management,Waiting for Connection...,531,933
(blank),Benefit,TPID-114112,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy+1@test23.com,(blank),(blank),11-09-2021,General Management,Waiting for Connection...,531,923
(blank),Benefit,TPID-114112,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy+1@test23.com,(blank),(blank),11-16-2021,General Management,Waiting for Connection...,524,976
(blank),Benefit,TPID-114112,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy+1@test23.com,(blank),(blank),11-16-2021,General Management,Waiting for Connection...,524,980
(blank),Benefitiar,TPID - 1441113,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy@test49.com,(blank),(blank),01-17-2023,ludmila.nesvitiy@test49.com,Not Started,97,5 000
(blank),BigBob,13BigBob,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy@test241.com,(blank),(blank),01-19-2023,General Management,Waiting for Connection...,95,5 006
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy@test47.com,BigBrain,BigBrain,09-03-2021,ludmila.nesvitiy@test47.com,Closed,0,724
11-18-2021,BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy@test47.com,(blank),(blank),11-18-2021,ludmila.nesvitiy@test47.com,Completed,0,1 010
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy@test47.com,(blank),(blank),11-18-2021,ludmila.nesvitiy@test47.com,In Progress,522,1 013
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",1,1,02-03-2023,General Management,Not Started,80,5 540
